ID,Count
18288,366.30631806058375
18289,366.7504536259371
18290,366.8579140513519
18291,366.2703089790056
18292,367.37337403195403
18293,365.9086902434027
18294,367.7108596024338
18295,365.77242369426665
18296,367.7911628030983
18297,365.90748934141385
18298,367.604586636779
18299,366.28673194042705
18300,367.2131846451873
18301,366.8175364219881
18302,366.73371676880276
18303,367.3670500495266
18304,366.3059962618516
18305,367.7980838490831
18306,366.05520751547823
18307,368.005992506054
18308,366.0583498539707
18309,367.9466194441901
18310,366.3238011227683
18311,367.6478457427938
18312,366.78942338253904
18313,367.20172532496446
18314,367.3396233075197
18315,366.73942024422723
18316,367.8366853471364
18317,366.3957593438736
18318,368.1578854939005
18319,366.2729959138764
18320,368.22838459312004
18321,366.4135054220549
18322,368.0410859605473
18323,366.78871193801723
18324,367.65819005641447
18325,367.30713398127824
18326,367.19412362113184
18327,367.8392888577023
18328,366.7845263153749
18329,368.25267707070003
18330,366.5496993874362
18331,368.4473954822135
18332,366.5623650672024
18333,368.3828080785731
18334,366.8283760954501
18335,368.0881553951746
18336,367.28549071404825
18337,367.6543356986835
18338,367.8204483775154
18339,367.20916382015326
18340,368.2996635284026
18341,366.8828404689949
18342,368.6052204590846
18343,366.7729599448948
18344,368.6664712934442
18345,366.91845971971645
18346,368.47877077562947
18347,367.2894641747244
18348,368.1043813788597
18349,367.7956685159047
18350,367.6553981939406
18351,368.3109141152075
18352,367.2633744287586
18353,368.70726871789395
18354,367.043877063811
18355,368.88940610389227
18356,367.0655215262489
18357,368.820047162604
18358,367.3317812984178
18359,368.5296737857317
18360,367.7803931479421
18361,368.107987535597
18362,368.30042635960274
18363,367.67950265243985
18364,368.76233836015405
18365,367.3699130393885
18366,369.0528744866378
18367,367.2723170452944
18368,369.10541051480124
18369,367.4223748782794
18370,368.9176097596075
18371,367.78902648570084
18372,368.5517168704387
18373,368.283182808529
18374,368.1174995940926
18375,368.781962032464
18376,367.7425115398075
18377,369.1618787346513
18378,367.5377310597729
18379,369.33202277497
18380,367.567831770146
18381,369.25831410077507
18382,367.8340478114023
18383,368.97236349920297
18384,368.27417185840415
18385,368.56263872971226
18386,368.7795974080659
18387,368.15040128098394
18388,369.2247381941716
18389,367.85695773307253
18390,369.50085657012653
18391,367.7710691384439
18392,369.5451895768881
18393,367.9252734393562
18394,369.3575720776142
18395,368.28743586762926
18396,369.0001559201711
18397,368.7697182962309
18398,368.5803883958816
18399,369.2524673313403
18400,368.22190999409366
18401,369.61652583409284
18402,368.031252860694
18403,369.77524325549575
18404,368.0693086121833
18405,369.6975864107055
18406,368.3352062223744
18407,369.4161879560857
18408,368.76686689794053
18409,369.018248505138
18410,369.2580002302181
18411,368.6218257102107
18412,369.68689000040655
18413,368.34395643285984
18414,369.9491747573348
18415,368.26921877044083
18416,369.9857955414962
18417,368.4271778209428
18418,369.79862739046916
18419,368.7847284843189
18420,369.4496590292688
18421,369.25531510140553
18422,369.04402660029336
18423,369.7224632929167
18424,368.70154349345023
18425,370.07122755018685
18426,368.52443487376706
18427,370.21906470343487
18428,368.56996510763014
18429,370.13784174375854
18430,368.8352866199649
18431,369.86111140669396
18432,369.2585172164022
18433,369.4747773853168
18434,369.7356721267772
18435,369.09374336187636
18436,370.1488194177512
18437,368.83089217549605
18438,370.3978361977356
18439,368.7667690692688
18440,370.4272152439472
18441,368.928110297516
18442,370.240745861717
18443,369.2809396729813
18444,369.9001877920124
18445,369.7400120623949
18446,369.5083775949937
18447,370.1919818041171
18448,369.18138704592883
18449,370.5260002877699
18450,369.01727038142997
18451,370.66348371462294
18452,369.069814523122
18453,370.5790579042461
18454,369.3343185869548
18455,370.3070989245631
18456,369.74916068020224
18457,369.9321871625349
18458,370.2126490315141
18459,369.5661230289989
18460,370.61055080336064
18461,369.3177491024703
18462,370.8468471881849
18463,369.26372370571875
18464,370.86943532290184
18465,369.4280929815122
18466,370.68389816362486
18467,369.7761039511353
18468,370.35170487644984
18469,370.22384676383285
18470,369.9734061150456
18471,370.6610534032192
18472,369.6614169171932
18473,370.9808593709164
18474,369.5097534965423
18475,371.10849636098516
18476,369.5688703076426
18477,371.02121286728294
18478,369.8323311947769
18479,370.754116399247
18480,370.23883409169304
18481,370.39044086772867
18482,370.6889655501692
18483,370.0389348309052
18484,371.0721072805515
18485,369.8045124124553
18486,371.29621321688757
18487,369.76008685601454
18488,371.31244224860137
18489,369.92714780612556
18490,371.12805548219393
18491,370.2702550240956
18492,370.8041740049526
18493,370.70685556668263
