,ID,Count
0,18288,371.7420138965168
1,18289,368.8284713072284
2,18290,370.55933579038685
3,18291,368.88019006215103
4,18292,371.6491186783538
5,18293,368.59968120076286
6,18294,370.65511148457466
7,18295,369.63015112885785
8,18296,371.12123646801393
9,18297,368.6442205938953
10,18298,371.1138173159222
11,18299,369.8765084364373
12,18300,370.52883901678405
13,18301,369.1675114599087
14,18302,371.45801334295
15,18303,369.6536804519117
16,18304,370.3203588658994
17,18305,369.93020627319504
18,18306,371.34739026630973
19,18307,369.37090468637894
20,18308,370.63034639967805
21,18309,370.46874584885904
22,18310,370.86254790516807
23,18311,369.4575318538974
24,18312,371.16665405052925
25,18313,370.5022951196593
26,18314,370.42225445645283
27,18315,369.99825045300946
28,18316,371.4669208393219
29,18317,370.17300591284175
30,18318,370.4132786497002
31,18319,370.6714609313107
32,18320,371.2958963329676
33,18321,369.9174534251521
34,18322,370.85663265547436
35,18323,371.0369196495658
36,18324,370.8395455832332
37,18325,370.0879569271125
38,18326,371.3955371716414
39,18327,370.91816374108015
40,18328,370.53396359932384
41,18329,370.65429849824613
42,18330,371.6080688117874
43,18331,370.54967725251527
44,18332,370.68400587590855
45,18333,371.23991242003075
46,18334,371.3689407662249
47,18335,370.367971886074
48,18336,371.2033989827472
49,18337,371.4540073489383
50,18338,370.9489725192182
51,18339,370.63386546421924
52,18340,371.69642023792994
53,18341,371.2281426514908
54,18342,370.772822829025
55,18343,371.21376677794365
56,18344,371.80332832717914
57,18345,370.86854176989897
58,18346,371.05044868563516
59,18347,371.703986503628
60,18348,371.5072930347314
61,18349,370.7857389172416
62,18350,371.60118479535583
63,18351,371.7837365117167
64,18352,371.1404323430014
65,18353,371.14074659467286
66,18354,372.01693618176824
67,18355,371.4889293310355
68,18356,371.0905581651472
69,18357,371.7131125422058
70,18358,372.0168350315474
71,18359,371.17377078663384
72,18360,371.4668816902341
73,18361,372.09902672989443
74,18362,371.6848496071102
75,18363,371.2001618041839
76,18364,372.01229117367484
77,18365,372.0621288338288
78,18366,371.38919590732377
79,18367,371.6274568169861
80,18368,372.33184662903443
81,18369,371.7327131538574
82,18370,371.4598494029603
83,18371,372.1686553529039
84,18372,372.2343661444161
85,18373,371.48792519233234
86,18374,371.90619212860133
87,18375,372.44458373703833
88,18376,371.8915824474326
89,18377,371.6229188435601
90,18378,372.4160338784391
91,18379,372.3113430157601
92,18380,371.6824893479962
93,18381,372.09973378728057
94,18382,372.63047798869934
95,18383,371.97854356469145
96,18384,371.86348319382455
97,18385,372.58751230102
98,18386,372.45265554729065
99,18387,371.82166057729205
100,18388,372.3511300165488
101,18389,372.7529818306964
102,18390,372.12477750919203
103,18391,372.0563607925632
104,18392,372.8013132278932
105,18393,372.54642179941766
106,18394,372.0126570696206
107,18395,372.55723257516917
108,18396,372.9101774811671
109,18397,372.2379660614748
110,18398,372.289113735537
111,18399,372.9731200243696
112,18400,372.67375205041736
113,18401,372.17875470857496
114,18402,372.7900653515157
115,18403,373.03344305750727
116,18404,372.3845245666503
117,18405,372.49800246128143
118,18406,373.16282129285446
119,18407,372.7784775625921
120,18408,372.3738493681236
121,18409,372.99723803307654
122,18410,373.17278733935234
123,18411,372.5178212000719
124,18412,372.7268543224389
125,18413,373.32796143026974
126,18414,372.90195934674125
127,18415,372.55881316627506
128,18416,373.21497140171914
129,18417,373.29394774646875
130,18418,372.67141690721445
131,18419,372.9430262087471
132,18420,373.49903317953107
